import_node,source,notes,geography,currency,currency_year,denominator_unit,interpolation_method,extrapolation_method,extrapolation_growth,gau,demand_sector,year,value,sensitivity
Residual Fossil Fuel Oil Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2022,60.64544455,
Residual Fossil Fuel Oil Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2023,61.89331927,
Residual Fossil Fuel Oil Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2024,63.00123958,
Residual Fossil Fuel Oil Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2025,63.92415907,
Residual Fossil Fuel Oil Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2026,65.26508719,
Residual Fossil Fuel Oil Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2027,66.50720485,
Residual Fossil Fuel Oil Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2028,67.83695208,
Residual Fossil Fuel Oil Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2029,69.18767636,
Residual Fossil Fuel Oil Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2030,70.50256856,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2016,1.97,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2017,1.97,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2018,1.98,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2019,1.98,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2020,1.99,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2021,2.01,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2022,2.01,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2023,2.02,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2024,2.02,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2025,2.03,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2026,2.04,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2027,2.04,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2028,2.06,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2029,2.06,
Uranium Import,,,mexico,USD,2015,gigajoule,linear_interpolation,decay_towards_linear_regression,,mx,,2030,2.07,
