supply_node,geography,other_index_1,unit,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,oth_1,resource_bin,year,value,sensitivity
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2048,940.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2049,961.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2050,981.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2011,293.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2012,274.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2013,279.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2014,281.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2015,295.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2016,307.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2017,315.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2018,327.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2019,249.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2020,238.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2021,238.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2022,239.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2023,242.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2024,245.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2025,247.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2026,249.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2027,253.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2028,258.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2029,264.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2030,271.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2031,279.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2032,285.0,
