supply_tech,geography,definition,reference_tech_id,input_unit,output_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,supply_node,efficiency_type,gau,demand_sector,resource_bin,vintage,value
gas combined cycle power plant with CCS,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2024.0,7493.0
gas combustion turbine IPP cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,-0.99
gas combustion turbine IPP cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2015.0,3.46
gas combustion turbine IPP cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,-0.99
gas combustion turbine IPP cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2015.0,3.599542215
gas combustion turbine cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2015.0,3.16
gas combustion turbine cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.74
gas combustion turbine cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.74
gas combustion turbine cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2015.0,3.290494088
gas combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,1970.0,19.84564498
gas combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,1971.0,11.81102362
gas combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,1972.0,22.19482121
gas combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,1975.0,18.66251944
gas combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,1998.0,10.4150919
gas combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,1999.0,11.34930643
gas combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2000.0,16.50705363
gas combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2005.0,19.48051948
gas combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2014.0,16.66196141
gas combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2016.0,12.58680296
gas combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2031.0,9.845333333
gas steam turbine IPP cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,-2.34
gas steam turbine IPP cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2015.0,6.25
gas steam turbine IPP cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,-2.34
gas steam turbine IPP cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2015.0,6.473689789
gas steam turbine cogen power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2000.0,11.2892571
gas steam turbine cogen power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2014.0,10.80079283
gas steam turbine cogen power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2016.0,8.55075
gas steam turbine cogen power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2017.0,6.8925
gas steam turbine cogen power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2020.0,6.829
gas steam turbine cogen power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2031.0,8.730641791
gas steam turbine cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2015.0,2.260333667
gas steam turbine cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.25
gas steam turbine power plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2000.0,14.51835673
gas steam turbine power plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2004.0,10.73665374
gas steam turbine power plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2016.0,18.36746145
geothermal power plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Geothermal Primary,consumed,mx,,,1973.0,1.0
geothermal power plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Geothermal Primary,consumed,mx,,,1982.0,1.0
geothermal power plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Geothermal Primary,consumed,mx,,,2000.0,1.0
hydrogen fueling station,mexico,absolute,,kWh,h2_kilogram,linear_interpolation,nearest,,,,,,Liquid Hydrogen Truck Delivery,not consumed,mx,,,2015.0,39.5
hydrogen fueling station,mexico,absolute,,kWh,h2_kilogram,linear_interpolation,nearest,,,,,,Electricity Distribution Grid,consumed,mx,,,2016.0,0.25519000000000003
landfill gas cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,6.23
landfill gas cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-1.5
landfill gas cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-1.5
landfill gas cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,6.624374695
landfill gas to electricity power plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,,,,,,,
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1905.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1910.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1911.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1912.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1919.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1951.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1953.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1954.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1955.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1957.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1959.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1960.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1962.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1963.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1964.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1965.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1966.0,1.0
