supply_tech,geography,definition,reference_tech_id,input_unit,output_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,supply_node,efficiency_type,gau,demand_sector,resource_bin,vintage,value
residual oil steam turbine cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2015.0,2.467967495
residual oil steam turbine cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.36
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,1963.0,9.476177942
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,1964.0,10.95890411
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,1971.0,11.09057301
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,1976.0,10.54790507
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,1981.0,9.980593291
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,1982.0,10.52323882
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,1985.0,10.39561074
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,1986.0,10.61007958
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,1991.0,10.62260254
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,1998.0,11.52
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2000.0,12.7591689
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2001.0,10.25056948
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2003.0,11.07554022
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2006.0,13.47809809
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2016.0,25.16438585
residual oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2017.0,10.315
rooftop solar PV power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Solar Primary,consumed,mx,,,2010.0,1.0
run of river hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,2010.0,1.0
solar thermal with energy storage power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Solar Primary,consumed,mx,,,2010.0,1.0
solar thermal without energy storage power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Solar Primary,consumed,mx,,,2010.0,1.0
thermal biomass gasifier,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,0.780057386
thermal biomass gasifier,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2015.0,0.021328457999999998
thermal biomass gasifier,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,not consumed,mx,,,2015.0,0.572142612
thermal biomass gasifier w/ccs,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,not consumed,mx,,,2015.0,0.55511727
thermal biomass gasifier w/ccs,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2015.0,0.043360432000000004
thermal biomass gasifier w/ccs,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,0.81618273
transmission-sited solar PV power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Solar Primary,consumed,mx,,,2000.0,1.0
