name,supply_technology,supply_node,geography,other_index_1,capacity_or_energy_unit,time_unit,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,oth_1,demand_sector,year,value,resource_bin
Baseline New Large Hydro post 2030,large hydro power plant,Dispatchable Hydroelectric Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2031,16975.0,
Baseline New Large Hydro post 2030,large hydro power plant,Dispatchable Hydroelectric Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2040,33950.0,
Baseline New Large Hydro post 2030,large hydro power plant,Dispatchable Hydroelectric Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2050,33950.0,
Delayed High Renewables Battery Storage,,Bulk Electricity Storage,mexico,,gigawatt,,linear_interpolation,none,,,,,mx,,,2030,0.0,
Delayed High Renewables Battery Storage,,Bulk Electricity Storage,mexico,,gigawatt,,linear_interpolation,none,,,,,mx,,,2050,20.0,
Delayed w Steep Cumulative Target High Renewables Battery Storage,,Bulk Electricity Storage,mexico,,gigawatt,,linear_interpolation,none,,,,,mx,,,2030,0.0,
Delayed w Steep Cumulative Target High Renewables Battery Storage,,Bulk Electricity Storage,mexico,,gigawatt,,linear_interpolation,none,,,,,mx,,,2038,20.0,
Delayed w Steep Cumulative Target High Renewables Battery Storage,,Bulk Electricity Storage,mexico,,gigawatt,,linear_interpolation,none,,,,,mx,,,2050,20.0,
High Renewables Battery Storage,,Bulk Electricity Storage,mexico,,gigawatt,,linear_interpolation,none,,,,,mx,,,2025,0.0,
High Renewables Battery Storage,,Bulk Electricity Storage,mexico,,gigawatt,,linear_interpolation,none,,,,,mx,,,2050,20.0,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2017,30311.04,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2018,32571.56,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2019,38021.26,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2020,41054.83,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2021,40592.32,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2022,40592.32,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2023,40592.32,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2024,40592.32,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2025,40592.32,
