name,supply_technology,supply_node,geography,other_index_1,capacity_or_energy_unit,time_unit,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,oth_1,demand_sector,year,value,resource_bin
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2026,40655.35,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2027,40772.35,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2028,41412.59,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2029,42013.59,
PRODESN CCGT,gas combined cycle power plant,Combined-Cycle Gas Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2030,42642.67,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2017,5378.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2018,5378.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2019,5498.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2020,5498.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2021,5498.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2022,5498.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2023,5498.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2024,5498.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2025,5498.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2026,5498.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2027,5498.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2028,4798.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2029,4098.36,
PRODESN Coal,pulverized coal power plant,Coal Power Plants,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2030,4098.36,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2017,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2018,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2019,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2020,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2021,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2022,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2023,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2024,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2025,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2026,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2027,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2028,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2029,656.9060000000001,
PRODESN Diesel ICE,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2030,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2017,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2018,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2019,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2020,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2021,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2022,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2023,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2024,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2025,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2026,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2027,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2028,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2029,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2030,656.9060000000001,
PRODESN Diesel ICE with 2050 Retirement,Diesel ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2050,0.0,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2017,838.84,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2018,838.84,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2019,782.84,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2020,782.84,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2021,696.84,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2022,318.49,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2023,291.06,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2024,275.06,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2025,261.06,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2026,68.06,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2027,68.06,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2028,68.06,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2029,68.06,
PRODESN Distillate Oil Combustion Turbine,distillate oil combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2030,68.06,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2017,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2018,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2019,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2020,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2021,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2022,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2023,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2024,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2025,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2026,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2027,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2028,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2029,128.0,
PRODESN Distillate Oil Steam Turbine,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2030,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2017,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2018,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2019,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2020,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2021,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2022,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2023,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2024,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2025,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2026,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2027,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2028,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2029,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2030,128.0,
PRODESN Distillate Oil Steam Turbine with 2050 Retirement,distillate oil steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2050,0.0,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2017,582.827,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2018,635.677,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2019,635.677,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2020,635.677,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2021,635.677,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2022,604.177,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2023,604.177,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2024,572.677,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2025,572.677,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2026,572.677,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2027,572.677,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2028,572.677,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2029,572.677,
PRODESN Fuel Oil ICE,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2030,572.677,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2017,582.827,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2018,635.677,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2019,635.677,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2020,635.677,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2021,635.677,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2022,604.177,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2023,604.177,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2024,572.677,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2025,572.677,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2026,572.677,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2027,572.677,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2028,572.677,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2029,572.677,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2030,572.677,
PRODESN Fuel Oil ICE with 2050 retirement,Fuel Oil ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2050,0.0,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2017,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2018,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2019,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2020,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2021,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2022,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2023,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2024,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2025,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2026,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2027,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2028,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2029,3542.21,
PRODESN Gas CT,gas combustion turbine power plant,Combustion Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2030,3542.21,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2017,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2018,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2019,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2020,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2021,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2022,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2023,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2024,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2025,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2026,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2027,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2028,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2029,125.756,
PRODESN Gas ICE,Gas ICE,Internal Combustion Engines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2030,125.756,
PRODESN Gas Steam Turbine,gas steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2017,1151.89,
PRODESN Gas Steam Turbine,gas steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2018,1151.89,
PRODESN Gas Steam Turbine,gas steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2019,1151.89,
PRODESN Gas Steam Turbine,gas steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2020,1151.89,
PRODESN Gas Steam Turbine,gas steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2021,1151.89,
PRODESN Gas Steam Turbine,gas steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2022,1151.89,
PRODESN Gas Steam Turbine,gas steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2023,1151.89,
PRODESN Gas Steam Turbine,gas steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2024,1151.89,
PRODESN Gas Steam Turbine,gas steam turbine power plant,Fossil Steam Turbines,mexico,,megawatt,,linear_interpolation,none,,,,,mx,,,2025,1151.89,
