supply_tech,definition,reference_tech_id,geography,currency,currency_year,capacity_or_energy_unit,time_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,gau,demand_sector,resource_bin,vintage,value
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2031.0,48.97
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2032.0,48.83
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2033.0,48.7
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2034.0,48.56
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2035.0,48.42
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2036.0,48.29
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2037.0,48.15
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2038.0,48.02
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2039.0,47.88
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2040.0,47.75
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2041.0,47.61
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2042.0,47.47
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2043.0,47.34
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2044.0,47.2
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2045.0,47.07
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2046.0,46.93
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2047.0,46.8
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2048.0,46.66
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2049.0,46.52
Onshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2050.0,46.39
Relicensed Nuclear Power Plants,relative,25.0,,,,,,,,,,,,,,,,,
Wave Power Plant,absolute,,mexico,USD,2008.0,kilowatt,,linear_interpolation,nearest,,,,http://bv.com/docs/reports-studies/nrel-cost-report.pdf,,mx,,,2015.0,474.0
Wave Power Plant,absolute,,mexico,USD,2008.0,kilowatt,,linear_interpolation,nearest,,,,http://bv.com/docs/reports-studies/nrel-cost-report.pdf,,mx,,,2020.0,357.0
Wave Power Plant,absolute,,mexico,USD,2008.0,kilowatt,,linear_interpolation,nearest,,,,http://bv.com/docs/reports-studies/nrel-cost-report.pdf,,mx,,,2025.0,292.0
Wave Power Plant,absolute,,mexico,USD,2008.0,kilowatt,,linear_interpolation,nearest,,,,http://bv.com/docs/reports-studies/nrel-cost-report.pdf,,mx,,,2030.0,243.0
Wave Power Plant,absolute,,mexico,USD,2008.0,kilowatt,,linear_interpolation,nearest,,,,http://bv.com/docs/reports-studies/nrel-cost-report.pdf,,mx,,,2035.0,203.0
Wave Power Plant,absolute,,mexico,USD,2008.0,kilowatt,,linear_interpolation,nearest,,,,http://bv.com/docs/reports-studies/nrel-cost-report.pdf,,mx,,,2040.0,175.0
biomass cogen IPP power plant,relative,37.0,,,,,,,,,,,,,,,,,
biomass cogen IPP power plant w/ccs,relative,37.0,,,,,,,,,,,,,,,,,
biomass cogen power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,18.24
biomass cogen power plant w/ccs,relative,57.0,,,,,,,,,,,,,,,,,
biomass power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,107.27
bulk battery storage,absolute,,mexico,USD,2009.0,kilowatt,,linear_interpolation,nearest,,,,,,,,,,
central hydrogen grid electrolysis,absolute,,mexico,USD,2007.0,h2_kilogram,day,linear_interpolation,nearest,,,,,,mx,,,2010.0,78.7
central hydrogen grid electrolysis,absolute,,mexico,USD,2007.0,h2_kilogram,day,linear_interpolation,nearest,,,,,,mx,,,2025.0,56.1
coal IGCC power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,52.19
coal IGCC with CCS power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,73.96
coal steam turbine IPP cogen power plant,relative,3.0,,,,,,,,,,,,,,,,,
coal steam turbine IPP cogen power plant w/ccs,relative,3.0,,,,,,,,,,,,,,,,,
coal steam turbine cogen power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,3.02
coal steam turbine cogen power plant w/ccs,relative,51.0,,,,,,,,,,,,,,,,,
coal steam turbine power plant with CCS,absolute,,mexico,USD,2011.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2017.0,65.31
distillate oil combustion turbine IPP cogen power plant,relative,42.0,,,,,,,,,,,,,,,,,
distillate oil combustion turbine IPP cogen power plant w/ccs,relative,42.0,,,,,,,,,,,,,,,,,
distillate oil combustion turbine cogen power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,2.01
distillate oil combustion turbine cogen power plant w/ccs,relative,62.0,,,,,,,,,,,,,,,,,
distillate oil combustion turbine power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,6.28
