supply_node,geography,capacity_or_energy_unit,time_unit,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,demand_sector,supply_technology,vintage,value,resource_bin
Combined-Cycle Gas Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,gas combined cycle power plant,2000,66.441,
Combined-Cycle Gas Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,gas combined cycle power plant,2001,495.0,
Combined-Cycle Gas Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,gas combined cycle power plant,2002,382.12,
Combined-Cycle Gas Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,gas combined cycle power plant,2003,983.0,
Combined-Cycle Gas Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,gas combined cycle power plant,2006,495.0,
Combined-Cycle Gas Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,gas combined cycle power plant,2016,172.0,
Combined-Cycle Gas Turbines,zonas de reserva,megawatt,,none,none,,,,,peninsular (zdr),,gas combined cycle power plant,2000,484.0,
Combined-Cycle Gas Turbines,zonas de reserva,megawatt,,none,none,,,,,peninsular (zdr),,gas combined cycle power plant,2003,252.4,
Combined-Cycle Gas Turbines,zonas de reserva,megawatt,,none,none,,,,,peninsular (zdr),,gas combined cycle power plant,2006,745.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,baja california (zdr),,gas combustion turbine power plant,2000,345.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,baja california (zdr),,distillate oil combustion turbine power plant,2000,27.43,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,baja california (zdr),,distillate oil combustion turbine power plant,2003,62.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,baja california sur (zdr),,distillate oil combustion turbine power plant,2000,435.88,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,central (zdr),,gas combustion turbine power plant,2000,594.5,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,central (zdr),,distillate oil combustion turbine power plant,2000,5.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,gas combustion turbine power plant,1970,24.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,gas combustion turbine power plant,1972,24.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,gas combustion turbine power plant,1975,48.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,gas combustion turbine power plant,1998,168.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,gas combustion turbine power plant,1999,150.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,gas combustion turbine power plant,2000,85.43,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,distillate oil combustion turbine power plant,2000,26.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,distillate oil combustion turbine power plant,2000,72.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,norte (zdr),,gas combustion turbine power plant,2000,68.86,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,norte (zdr),,distillate oil combustion turbine power plant,2000,59.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,norte (zdr),,gas combustion turbine power plant,2005,56.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,gas combustion turbine power plant,1971,393.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,gas combustion turbine power plant,2000,34.983000000000004,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,gas combustion turbine power plant,2000,244.917,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,gas combustion turbine power plant,2014,121.0,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,peninsular (zdr),,distillate oil combustion turbine power plant,1969,52.2,
Combustion Turbines,zonas de reserva,megawatt,,none,none,,,,,peninsular (zdr),,distillate oil combustion turbine power plant,2000,350.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,central (zdr),,large hydro power plant,2000,80.99,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,large hydro power plant,1954,31.5,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,large hydro power plant,1966,18.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,large hydro power plant,1987,66.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,large hydro power plant,2000,2.128,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,large hydro power plant,1957,19.2,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,large hydro power plant,1963,149.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,large hydro power plant,1964,90.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,large hydro power plant,1969,59.4,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,large hydro power plant,1987,92.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,large hydro power plant,1991,100.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,large hydro power plant,1996,422.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,large hydro power plant,2000,29.33,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,norte (zdr),,large hydro power plant,1910,25.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,norte (zdr),,large hydro power plant,2000,3.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,1912,9.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,1919,18.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,1953,5.32,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,1955,60.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,1962,80.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,1964,70.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,1965,1200.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,1973,320.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,1993,240.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,1994,960.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,1995,292.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,2000,121.21,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,2007,750.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,large hydro power plant,2012,750.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,1905,109.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,1910,8.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,1911,36.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,1951,10.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,1959,354.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,1960,26.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,1962,220.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,1976,900.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,1977,1080.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,1980,2400.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,1986,600.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,1987,420.0,
Dispatchable Hydroelectric Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,large hydro power plant,2000,243.032,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,baja california (zdr),,residual oil steam turbine power plant,2003,320.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,baja california sur (zdr),,distillate oil steam turbine power plant,2000,112.5,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,central (zdr),,residual oil steam turbine power plant,1963,450.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,central (zdr),,residual oil steam turbine power plant,1981,1605.6,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,central (zdr),,gas steam turbine power plant,2000,2.5,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,central (zdr),,gas steam turbine cogen power plant,2000,2.219,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,central (zdr),,residual oil steam turbine power plant,2016,133.7,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,gas steam turbine power plant,2000,83.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,residual oil steam turbine power plant,2000,32.38,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,gas steam turbine cogen power plant,2000,37.93,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,residual oil steam turbine power plant,2003,500.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,gas steam turbine power plant,2004,300.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,gas steam turbine power plant,2016,129.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,residual oil steam turbine power plant,1976,616.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,residual oil steam turbine power plant,1985,632.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,residual oil steam turbine power plant,2000,840.5,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,norte (zdr),,residual oil steam turbine power plant,1964,300.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,norte (zdr),,residual oil steam turbine power plant,1991,320.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,norte (zdr),,residual oil steam turbine power plant,1998,316.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,norte (zdr),,gas steam turbine power plant,2000,7.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,norte (zdr),,residual oil steam turbine power plant,2000,65.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,residual oil steam turbine power plant,1971,550.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,residual oil steam turbine power plant,1982,700.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,residual oil steam turbine power plant,1986,700.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,gas steam turbine power plant,2000,12.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,residual oil steam turbine power plant,2000,623.3,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,petroleum coke steam turbine power plant,2004,580.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,gas steam turbine power plant,2016,142.75,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,gas steam turbine power plant,2000,186.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,residual oil steam turbine power plant,2000,117.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,gas steam turbine cogen power plant,2000,165.6,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,residual oil steam turbine power plant,2001,2100.0,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,gas steam turbine cogen power plant,2014,367.4,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,gas steam turbine power plant,2016,115.2,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,peninsular (zdr),,residual oil steam turbine power plant,2000,280.5,
Fossil Steam Turbines,zonas de reserva,megawatt,,none,none,,,,,peninsular (zdr),,residual oil steam turbine power plant,2006,75.0,
Geothermal Power Plants,zonas de reserva,megawatt,,none,none,,,,,baja california (zdr),,geothermal power plant,1973,470.0,
Geothermal Power Plants,zonas de reserva,megawatt,,none,none,,,,,baja california (zdr),,geothermal power plant,2000,100.0,
Geothermal Power Plants,zonas de reserva,megawatt,,none,none,,,,,baja california sur (zdr),,geothermal power plant,2000,10.0,
Geothermal Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,geothermal power plant,1982,210.0,
Geothermal Power Plants,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,geothermal power plant,2000,67.0,
Geothermal Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,geothermal power plant,2000,68.6,
