name,energy_unit,gau_from,gau_to,year,interpolation_method,extrapolation_method,month,hour,day_type,value,sensitivity
custom - regional,megawatt_hour,louisiana and ozarks_reg,mid-atlantic_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,louisiana and ozarks_reg,midwest_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,louisiana and ozarks_reg,southeast_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,lower midwest_reg,ercot_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,lower midwest_reg,louisiana and ozarks_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,lower midwest_reg,midwest_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,lower midwest_reg,wecc_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,mid-atlantic_reg,louisiana and ozarks_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,mid-atlantic_reg,midwest_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,mid-atlantic_reg,northeast_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,mid-atlantic_reg,southeast_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,midwest_reg,louisiana and ozarks_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,midwest_reg,lower midwest_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,midwest_reg,mid-atlantic_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,northeast_reg,mid-atlantic_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,southeast_reg,louisiana and ozarks_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,southeast_reg,mid-atlantic_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,wecc_reg,lower midwest_reg,2018,linear_interpolation,nearest,,,,5,
