currency,year,value
CZK,2004,25.6909
CYP,2004,0.46851
PLN,2004,3.649965
SKK,2004,32.24935
SGD,2004,1.690385
GBP,2004,0.54597
EUR,2004,0.804975
JPY,2004,108.154195
RON,2004,3.26397
INR,2004,45.270545
HKD,2004,7.788445
ROL,2004,32639.70765
ISK,2004,70.178745
KRW,2004,1146.26803
ZAR,2004,6.44079
CNY,2004,8.276795
PHP,2004,56.04836
BGN,2004,1.57416
AUD,2004,1.35941
USD,2004,1.0
DKK,2005,5.994395
ISK,2005,62.8487
LVL,2005,0.559995
CYP,2005,0.463695
MTL,2005,0.34569
ILS,2005,4.48666
CHF,2005,1.24554
TRL,2005,1347538.411
CZK,2005,23.953735
THB,2005,40.258805
JPY,2005,110.105345
SEK,2005,7.472355
CNY,2005,8.193525
LTL,2005,2.77751
KRW,2005,1024.35799
INR,2005,44.04694
IDR,2005,9710.617
HUF,2005,199.578565
BGN,2005,1.573135
HKD,2005,7.77725
ZAR,2005,6.36189
PHP,2005,55.058515
SIT,2005,192.653485
EUR,2005,0.80441
USD,2005,1.0
NZD,2005,1.42006
TRY,2005,1.34754
EEK,2005,12.585505
SKK,2005,31.04277
HRK,2005,5.95266
PLN,2005,3.23465
BRL,2005,2.433395
NOK,2005,6.441975
RUB,2005,28.287835
ROL,2005,29124.57398
MXN,2005,10.892565
GBP,2005,0.54997
SGD,2005,1.664215
RON,2005,2.912455
MYR,2005,3.786885
AUD,2005,1.311935
CAD,2005,1.21141
CYP,2006,0.458575
TRY,2006,1.43698
PLN,2006,3.103575
ISK,2006,69.90767
AUD,2006,1.328125
ROL,2006,28091.48329
JPY,2006,116.31506
CNY,2006,7.973245
MTL,2006,0.342045
PHP,2006,51.279355
TRL,2006,1436982.082
CAD,2006,1.13432
MXN,2006,10.903525
RUB,2006,27.185385
LVL,2006,0.554785
CHF,2006,1.25339
MYR,2006,3.66567
BRL,2006,2.17594
NOK,2006,6.412005
LTL,2006,2.75134
NZD,2006,1.542055
USD,2006,1.0
BGN,2006,1.55873
SEK,2006,7.37562
KRW,2006,955.117745
RON,2006,2.80915
SGD,2006,1.589095
SKK,2006,29.662285
HKD,2006,7.76835
IDR,2006,9170.608205
EUR,2006,0.796905
ZAR,2006,6.76931
HUF,2006,210.44338
ILS,2006,4.457905
SIT,2006,190.87031
CZK,2006,22.587475
INR,2006,45.24783
DKK,2006,5.94365
HRK,2006,5.837035
EEK,2006,12.46104
THB,2006,37.92412
GBP,2006,0.543465
CZK,2007,20.29443
CNY,2007,7.607195
BGN,2007,1.42929
KRW,2007,929.042085
HRK,2007,5.362595
PHP,2007,46.07758
BRL,2007,1.94821
MXN,2007,10.927655
LVL,2007,0.51158
IDR,2007,9131.740465
SEK,2007,6.756925
ILS,2007,4.109785
NOK,2007,5.860555
CHF,2007,1.20016
NZD,2007,1.36099
THB,2007,32.29187
LTL,2007,2.5233
USD,2007,1.0
EEK,2007,11.433775
RON,2007,2.437165
SKK,2007,24.68684
HKD,2007,7.8019
ZAR,2007,7.050015
AUD,2007,1.19507
GBP,2007,0.499805
HUF,2007,183.64204
EUR,2007,0.730715
CYP,2007,0.425715
INR,2007,41.349005
MTL,2007,0.313715
RUB,2007,25.576095
PLN,2007,2.76561
MYR,2007,3.43669
CAD,2007,1.07412
ROL,2007,24371.64082
SIT,2007,175.023675
JPY,2007,117.792725
TRL,2007,1306463.575
TRY,2007,1.306465
DKK,2007,5.44391
SGD,2007,1.506875
ISK,2007,64.06433
NOK,2008,5.642445
CHF,2008,1.082845
CAD,2008,1.066365
USD,2008,1.0
RUB,2008,24.859385
IDR,2008,9673.30086
MTL,2008,0.293345
LVL,2008,0.480205
DKK,2008,5.09448
HRK,2008,4.935655
MYR,2008,3.331935
TRL,2008,1304044.645
BRL,2008,1.834645
HUF,2008,172.297005
SIT,2008,163.74884
SGD,2008,1.415195
TRY,2008,1.304045
CYP,2008,0.39992
THB,2008,32.98994
ZAR,2008,8.253615
PLN,2008,2.407845
AUD,2008,1.19657
GBP,2008,0.544815
EEK,2008,10.691795
JPY,2008,103.442545
EUR,2008,0.68331
ISK,2008,87.76756
PHP,2008,44.424895
CNY,2008,6.9513
HKD,2008,7.78673
ILS,2008,3.58648
LTL,2008,2.359425
ROL,2008,25184.43771
NZD,2008,1.424305
CZK,2008,17.06733
MXN,2008,11.149275
SEK,2008,6.590115
INR,2008,43.71688
RON,2008,2.51844
BGN,2008,1.33638
KRW,2008,1099.788855
SKK,2008,21.358345
SKK,2009,21.662575
EUR,2009,0.719055
AUD,2009,1.28084
ROL,2009,30471.14959
USD,2009,1.0
MXN,2009,13.501325
BGN,2009,1.406505
SIT,2009,172.314375
GBP,2009,0.641035
TRY,2009,1.55397
MYR,2009,3.523355
BRL,2009,2.00044
PHP,2009,47.58775
HRK,2009,5.2806
HKD,2009,7.751635
RON,2009,3.047115
EEK,2009,11.25287
NOK,2009,6.29131
PLN,2009,3.117575
NZD,2009,1.59814
SEK,2009,7.64731
CNY,2009,6.831035
TRL,2009,1553972.493
ZAR,2009,8.422755
DKK,2009,5.354945
CYP,2009,0.42084
MTL,2009,0.30869
LTL,2009,2.48344
CHF,2009,1.08549
JPY,2009,93.59618
ISK,2009,123.923025
INR,2009,48.636865
HUF,2009,201.99306
CZK,2009,19.04308
RUB,2009,31.720915
KRW,2009,1275.87763
THB,2009,34.327445
SGD,2009,1.454135
ILS,2009,3.927665
CAD,2009,1.14139
IDR,2009,10408.04322
LVL,2009,0.50749
KRW,2010,1156.569
HUF,2010,207.9813
RON,2010,3.17905
ZAR,2010,7.32233
CZK,2010,19.093555
EEK,2010,11.80912
HKD,2010,7.76887
SEK,2010,7.204625
TRY,2010,1.50687
PHP,2010,45.09164
CNY,2010,6.76964
SKK,2010,22.73797
JPY,2010,87.80684
GBP,2010,0.64743
SGD,2010,1.36334
PLN,2010,3.016395
AUD,2010,1.090255
ISK,2010,124.56668
INR,2010,45.825675
CYP,2010,0.44174
EUR,2010,0.75476
THB,2010,31.727835
ROL,2010,31790.51123
ILS,2010,3.73439
BGN,2010,1.476325
NZD,2010,1.38763
BRL,2010,1.760465
TRL,2010,1506869.521
SIT,2010,180.87126
HRK,2010,5.500435
LTL,2010,2.60621
DKK,2010,5.62154
LVL,2010,0.53482
IDR,2010,9089.92874
NOK,2010,6.044085
MTL,2010,0.32402
MYR,2010,3.220665
CHF,2010,1.043085
USD,2010,1.0
CAD,2010,1.030475
MXN,2010,12.63514
RUB,2010,30.371255
MYR,2011,3.05834
CAD,2011,0.98908
GBP,2011,0.62363
SGD,2011,1.257005
BRL,2011,1.67251
PLN,2011,2.96239
BGN,2011,1.405975
TRL,2011,1678916.836
ISK,2011,115.98955
MTL,2011,0.308605
INR,2011,47.04085
RUB,2011,29.38936
EUR,2011,0.718865
CYP,2011,0.42073
THB,2011,30.480315
MXN,2011,12.43171
AUD,2011,0.968905
DKK,2011,5.356085
CNY,2011,6.463955
USD,2011,1.0
LTL,2011,2.482005
IDR,2011,8767.8087
CZK,2011,17.67842
RON,2011,3.048065
CHF,2011,0.8868
NOK,2011,5.60552
NZD,2011,1.264895
KRW,2011,1107.54167
EEK,2011,11.247715
LVL,2011,0.50758
JPY,2011,79.7222
HKD,2011,7.784475
SKK,2011,21.65649
SIT,2011,172.268565
TRY,2011,1.678915
HRK,2011,5.34676
ZAR,2011,7.25128
PHP,2011,43.285045
ROL,2011,30480.62932
ILS,2011,3.576845
SEK,2011,6.49125
HUF,2011,200.982435
SEK,2012,6.773575
THB,2012,31.058375
SKK,2012,23.442665
RON,2012,3.4695
SIT,2012,186.476815
TRL,2012,1800699.303
RUB,2012,31.07334
SGD,2012,1.249635
TRY,2012,1.8007
EUR,2012,0.778155
HUF,2012,225.118415
MYR,2012,3.08781
CZK,2012,19.564925
ZAR,2012,8.210455
MXN,2012,13.15758
CAD,2012,0.99983
JPY,2012,79.80144
MTL,2012,0.33406
GBP,2012,0.631085
CHF,2012,0.937845
CYP,2012,0.455435
ILS,2012,3.8549
LVL,2012,0.542575
USD,2012,1.0
CNY,2012,6.311605
LTL,2012,2.68676
HKD,2012,7.757095
HRK,2012,5.851325
NOK,2012,5.81987
KRW,2012,1126.59597
INR,2012,53.611925
BGN,2012,1.521915
ISK,2012,124.97709
PHP,2012,42.22129
EEK,2012,12.175465
IDR,2012,9364.90739
PLN,2012,3.255455
BRL,2012,1.95355
ROL,2012,34694.99741
AUD,2012,0.965985
DKK,2012,5.79226
NZD,2012,1.23517
THB,2013,30.722
SKK,2013,22.69212
USD,2013,1.0
ILS,2013,3.61051
EEK,2013,11.78565
ROL,2013,33277.88863
IDR,2013,10432.18092
SGD,2013,1.251105
CYP,2013,0.44085
JPY,2013,97.595245
EUR,2013,0.75324
INR,2013,58.51693
DKK,2013,5.61763
ISK,2013,122.05664
SEK,2013,6.51567
CZK,2013,19.550545
HKD,2013,7.75665
HUF,2013,223.61333
AUD,2013,1.03646
PLN,2013,3.16026
SIT,2013,180.506545
PHP,2013,42.4505
BGN,2013,1.473235
GBP,2013,0.639635
NZD,2013,1.220295
ZAR,2013,9.6431
RON,2013,3.32784
BRL,2013,2.15847
KRW,2013,1094.695215
TRY,2013,1.904855
TRL,2013,1904003.301
MYR,2013,3.149755
HRK,2013,5.7073
